year,estratopri,ur,sexo_std,etid,wealth,wc1,wc2,wc3,l1,pn4,eff1,eff2,cp6,cp13,colcp8a,prot3,exc13,exc14,exc15,exc16,exc18,exc20,exc07
2004,Pacífica,Urbano,Hombre,Mestiza,4,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Caribe,Urbano,Mujer,Blanca,Más rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,No,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Mestiza,2,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Una o dos veces al año,Nunca,,,,No,No,,,Nada generalizada
2004,Pacífica,Urbano,Hombre,Blanca,Menos rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,No,,,No,,,Muy generalizada
2004,Andina,Urbano,Hombre,Indígena,4,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,No,,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,2,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,No,No,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Hombre,Negra,2,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,No,,No,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,2,Sí,Sí,No,,Satisfecho(a),,,Nunca,Una o dos veces al año,Nunca,,No,No,,,,,Algo generalizada
2004,Andina,Urbano,Mujer,Mestiza,4,Sí,Sí,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,,No,No,,,Algo generalizada
2004,Pacífica,Rural,Mujer,Negra,3,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Una vez a la semana,,No,No,No,No,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,Más rico,No,Sí,Sí,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,No,,,No,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Hombre,Blanca,Menos rico,No,No,No,,Muy insatisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Algo generalizada
2004,Andina,Urbano,Hombre,Mestiza,3,Sí,No,No,,,,,Nunca,Nunca,Nunca,,No,,,No,,,
2004,Pacífica,Rural,Mujer,Negra,Menos rico,Sí,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,No,,,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Hombre,Mestiza,3,No,Sí,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,,No,,No,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,Más rico,Sí,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Una o dos veces al año,,No,No,,No,,,Algo generalizada
2004,Caribe,Urbano,Mujer,Mestiza,2,No,No,Sí,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,No,,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,3,No,No,No,,Muy satisfecho(a),,,Una vez a la semana,Nunca,Una o dos veces al mes,,,,,No,,,Muy generalizada
2004,Andina,Urbano,Hombre,Mestiza,2,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,,,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,2,No,Sí,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Muy generalizada
2004,Caribe,Urbano,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Una o dos veces al año,Nunca,Una o dos veces al año,,No,,No,No,,,Algo generalizada
2004,Caribe,Urbano,Mujer,Mestiza,4,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Caribe,Rural,Mujer,Blanca,Menos rico,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Una o dos veces al año,Una o dos veces al año,,No,,No,No,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Hombre,Blanca,Menos rico,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,,No,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Blanca,3,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Muy generalizada
